variable,season,model,mse,relative_error,n_test
chlorophyll_a_ugL,Summer,LSE,27.16799591191969,0.2535035751488651,5
chlorophyll_a_ugL,Summer,RBF,23.256402470717383,0.2164244957097637,5
chlorophyll_a_ugL,Summer,ANN,29.677416816180408,0.23049175858220822,5
chlorophyll_a_ugL,Autumn,LSE,11.176081654616532,0.2608876207847378,5
chlorophyll_a_ugL,Autumn,RBF,7.624057779964012,0.21389788238260357,5
chlorophyll_a_ugL,Autumn,ANN,13.617061607867537,0.2905234874895358,5
chlorophyll_a_ugL,Winter,LSE,1.5253262957605922,0.08807794855913416,5
chlorophyll_a_ugL,Winter,RBF,1.988533104284312,0.10778697393613543,5
chlorophyll_a_ugL,Winter,ANN,0.8947895919907932,0.06304890580546832,5
chlorophyll_a_ugL,Spring,LSE,9.945983859981737,0.2324977820735727,5
chlorophyll_a_ugL,Spring,RBF,10.021505173276832,0.24602229079799137,5
chlorophyll_a_ugL,Spring,ANN,4.323705386542576,0.16594923937413597,5
turbidity_ntu,Summer,LSE,5.192706297263255,0.5941788805198823,5
turbidity_ntu,Summer,RBF,4.24352006094836,0.5307275425125273,5
turbidity_ntu,Summer,ANN,4.419211324197381,0.5385293436092338,5
turbidity_ntu,Autumn,LSE,2.3779319623262003,0.29806500634773836,5
turbidity_ntu,Autumn,RBF,1.3828029539672386,0.2544625955552453,5
turbidity_ntu,Autumn,ANN,1.3717986982742079,0.24258364760695433,5
turbidity_ntu,Winter,LSE,2.81153676429265,0.46101974635130594,5
turbidity_ntu,Winter,RBF,1.9791976606384991,0.357906580955816,5
turbidity_ntu,Winter,ANN,2.0616276818496586,0.4505861609569012,5
turbidity_ntu,Spring,LSE,0.4512932891609858,0.11170860261494182,5
turbidity_ntu,Spring,RBF,0.19245603827843916,0.07807078386500946,5
turbidity_ntu,Spring,ANN,0.18446358189410075,0.07855345668047821,5
suspended_solids_mgL,Summer,LSE,7.560400776127276,0.6818914246675598,5
suspended_solids_mgL,Summer,RBF,2.429846205236808,0.38551155006332305,5
suspended_solids_mgL,Summer,ANN,1.2169373609777034,0.2666250348759868,5
suspended_solids_mgL,Autumn,LSE,2.459022896509617,0.25751403982777893,5
suspended_solids_mgL,Autumn,RBF,1.5499290388580917,0.19136557590140518,5
suspended_solids_mgL,Autumn,ANN,1.5824986962364285,0.20267264366317073,5
suspended_solids_mgL,Winter,LSE,5.04531477822465,1.0931623255508165,5
suspended_solids_mgL,Winter,RBF,4.620201907280036,0.601273998818835,5
suspended_solids_mgL,Winter,ANN,2.0933574916639985,0.7898677375101407,5
suspended_solids_mgL,Spring,LSE,1.3882426783957178,0.36014330968058844,5
suspended_solids_mgL,Spring,RBF,1.6214147131123624,0.3882964733094145,5
suspended_solids_mgL,Spring,ANN,0.9190444224388734,0.2822447912653995,5
